date,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R)
2022-12-01,0.960763336099494,0.0190067163692057,0.923868263217235,0.929715291066723,0.947876098928252,0.960638002810102,0.973513945310915,0.992238904743242,0.998370664219143
2022-12-02,0.970916529282383,0.01923394055529,0.933580876145576,0.939497607642367,0.957875133595603,0.970789523560269,0.983819473865376,1.00276867936075,1.00897394189717
2022-12-03,0.98291252221804,0.019433487209767,0.945188803864435,0.951167204194796,0.969735958941875,0.982784449893213,0.995949471663553,1.01509470695811,1.02136406144904
2022-12-04,0.99174110685446,0.0195774522274006,0.953737351846537,0.959760268726749,0.978467037184953,0.991612287017317,1.00487474781332,1.02416136153087,1.030476930781
2022-12-05,0.948789571441652,0.0191795507426488,0.911566900218449,0.917463969482804,0.935783682348762,0.94866033791835,0.961654580920553,0.980556001114842,0.986746662340285
2022-12-06,0.936862262532317,0.0191429200042171,0.899714668461939,0.905598897335182,0.923880474991483,0.936731883239256,0.949701921466253,0.968570363792784,0.974750787476551
2022-12-07,0.959682329251299,0.0195278419280785,0.921786199424142,0.927789372308004,0.946439799061812,0.959549880126998,0.972780474465102,0.992027082639366,0.998331152603605
2022-12-08,0.954562556026224,0.0196030508070814,0.916523989130397,0.922548891386461,0.941268373212966,0.954428368907994,0.967710459274475,0.987033945590086,0.993363693197773
2022-12-09,0.932591598287938,0.0194833431593017,0.894791925166731,0.900777420936761,0.919377374557434,0.932455922306547,0.945657919470851,0.96486857925134,0.971162302582926
2022-12-10,0.904018530137844,0.0193302170701748,0.86652499366542,0.872459864431592,0.890906486600648,0.903880757458074,0.91698038555675,0.936047151543528,0.942295012877044
2022-12-11,0.854138148327485,0.0189988546851112,0.817302943710125,0.823129903903666,0.841247990641688,0.853997286690087,0.866874750710885,0.885626885272307,0.89177385302186
2022-12-12,0.881032643698874,0.019616497837869,0.843000358039776,0.849016586525441,0.867723357315298,0.880887058597326,0.894183225667339,0.913545305583935,0.919892272314567
2022-12-13,0.880839771685198,0.0199564937617173,0.842155752584712,0.848273310644178,0.867298432787786,0.880689063410563,0.894216821390867,0.9139203131183,0.920380247940369
2022-12-14,0.847595362216177,0.0198779746429567,0.809078656064741,0.815166172120667,0.834104516994185,0.847439973213215,0.860916815865988,0.880554599218382,0.886995125133436
2022-12-15,0.857155930618056,0.0203556732822438,0.817719357846566,0.823950894370884,0.843339820701016,0.856994801015146,0.870796391118171,0.890910595552959,0.89750818312361
2022-12-16,0.837367907081068,0.0205143393111772,0.797638650374734,0.803912947920635,0.823441398562208,0.837200388860032,0.851111802025785,0.871394287232073,0.878049148817251
2022-12-17,0.856615427259642,0.0211709280352491,0.815618952744282,0.82209234161161,0.842242379087987,0.856441023066694,0.870798355426272,0.891733422652878,0.898603018785927
2022-12-18,0.881779823648816,0.0219136558183759,0.839347961443568,0.846047319704236,0.866902006791303,0.881598300355628,0.896459759920451,0.918131521307026,0.925243259724318
2022-12-19,0.882430913762787,0.0222906941287218,0.839277695628341,0.846088880852614,0.867295514762924,0.882243229097528,0.897361715694697,0.91941315749765,0.926650719787708
2022-12-20,0.901650388207503,0.0228786091417332,0.857361491675903,0.864351340650114,0.886115338484092,0.90145688719814,0.916974500432476,0.939609486730218,0.947038926087452
2022-12-21,0.91218838222114,0.0233345622925846,0.867021452160605,0.87414878341007,0.896342884763687,0.911989417223627,0.92781698588278,0.95090667023536,0.958486004621293
2022-12-22,0.931165021187669,0.0238590652542782,0.884983807518913,0.892270965784977,0.914963180788758,0.930961250345244,0.94714472890093,0.970754159011596,0.97850423815946
2022-12-23,0.970566700197418,0.0246035518127755,0.922938047672487,0.930455126520949,0.953860484277364,0.970358810756845,0.987046293631234,1.01138740518798,1.01937676169319
2022-12-24,0.968922242850489,0.0247292896245622,0.921054265531434,0.928608148462138,0.952129899306624,0.968711866782958,0.985485253257269,1.00995395071462,1.01798576018887
